created_at,full_text,in_reply_to_screen_name,lang,tweet_url,label,word_count,text_svm,text_bert,label_id
Sat May 10 09:47:17 +0000 2025,@CommuterLine @merapi_uncover WOY ITU ORANG TUA KOK DISURUH BERDIRI? Petugasnya gimana?,CommuterLine,in,https://x.com/undefined/status/1921139975279587727,Pelayanan,11,woy orang tua kok suruh diri tugas bagaimana,woy itu orang tua kok disuruh berdiri petugasnya bagaimana,2
Sat Jul 15 08:33:34 +0000 2023,@CommuterLine Ini biasanya da sekuriti d tmpt gerbong perempuan. Skrg dah ga pernah da lg. Jd nya mlh kyk gini. Adanya lm2 mlh co bs d gerbong ce lg,CommuterLine,in,https://x.com/undefined/status/1680133493194637312,Pelayanan,29,biasa da sekuriti d tmpt gerbong perempuan skrg dah pernah da jadi nya mlh kyk gin ada lm2 mlh co bs d gerbong ceper,ini biasanya da sekuriti d tmpt gerbong perempuan skrg dah tidak pernah da lagi jadi nya mlh kyk gini adanya lm2 mlh co bs d gerbong ceper lagi,2
Wed Sep 25 01:18:09 +0000 2024,@CommuterLine Stasion manggarai peron ke kampung bandan kreta yang dari dipo untuk apa nunggu pemberangkatan sampai jam 7:55 sedangkan penumpang udah numpuk ke arah kampung bandan.,CommuterLine,in,https://x.com/undefined/status/1838749801875411164,Keterlambatan,26,stasion manggarai peron kampung bandan kreta dari dipo apa nunggu berangkat jam waktu jam tumpang numpuk arah kampung bandan,stasion manggarai peron ke kampung bandan kreta yang dari dipo untuk apa nunggu pemberangkatan sampai jam waktu_jam sedangkan penumpang sudah numpuk ke arah kampung bandan,0
Fri Feb 07 13:24:06 +0000 2025,@CommuterLine Line cikarang di jam 7-8 pagi ya min dari bekasi! Jd ada penumpukan di setiap stasiun apalagi kalau udah sampe manggarai udah gak muat ttp dipaksa masuk ga terurai udah liat di aplikasi c access jg waktu kedatangan kereta tetep suka ngaret,CommuterLine,in,https://x.com/undefined/status/1887854854263173571,Keterlambatan,43,line cikarang jam rentang angka pagi admin bekas jadi tumpu tiap stasiun kalau sampai manggarai muat ttp paksa masuk tidak urai liat aplikasi c access jg waktu datang kereta tetep suka ngaret,line cikarang di jam rentang_angka pagi ya admin dari bekasi jadi ada penumpukan di setiap stasiun apalagi kalau sudah sampai manggarai sudah tidak muat ttp dipaksa masuk tidak terurai sudah liat di aplikasi c access jg waktu kedatangan kereta tetep suka ngaret,0
Sun Oct 22 05:54:08 +0000 2023,@CommuterLine @kegblgnunfaedh Min saran saja. Lain kali dihimbau kepada petugasnya untuk lebih tegas tanpa ampun dan langsung tarik keluar kereta. Demi kenyamanan penumpang lain.,CommuterLine,in,https://x.com/undefined/status/1715969766870122562,Pelayanan,24,admin saran kali dihimbau tugas lebih tegas ampun langsung tarik keluar kereta nyaman tumpang lain,admin saran saja lain kali dihimbau kepada petugasnya untuk lebih tegas tanpa ampun dan langsung tarik keluar kereta demi kenyamanan penumpang lain,2
Mon Nov 25 00:30:41 +0000 2024,@CommuterLine min mau minta tolong untuk AC dicek berkala. Kalau anak kecil yang naik kasihan kegerahan. Baju gua bau apek.,CommuterLine,in,https://x.com/undefined/status/1860843514621550834,Pelayanan,20,admin mau minta untuk ancol cek kala kalau anak kecil naik kasihan gerah baju bau apek,admin mau minta tolong untuk ancol dicek berkala kalau anak kecil yang naik kasihan kegerahan baju saya bau apek,2
Wed Dec 06 07:46:01 +0000 2023,@CommuterLine Sudah saatnya ada cctv di setiap gerbong banayj manfaatnya termasuk merekam jika ada pelecehan,CommuterLine,in,https://x.com/undefined/status/1732305376593523038,Keamanan,15,saat cctv tiap gerbong banayj manfaat masuk rekam ada leceh,sudah saatnya ada cctv di setiap gerbong banayj manfaatnya termasuk merekam jika ada pelecehan,3
Tue Feb 18 14:19:19 +0000 2025,@CommuterLine @neglass2 Perbandingan sebelum GAPEKA CL tersedia tuj akhir cikarang keberangkatan dr st kemayoran pkl 17:15 dan pkl 18 GAPEKA menjadi neraka makanya kalian staff uji coba Spy bisa merasakan kebijakan kalian yg menyiksa. ,CommuterLine,in,https://x.com/undefined/status/1891855017881240038,Keterlambatan,34,banding gapeka cl sedia tuj akhir cikarang berangkat st mayor pkl waktu jam pkl angka gapeka jadi neraka makanya kalian staff uji coba spy rasa bijak kalian siksa,perbandingan sebelum gapeka cl tersedia tuj akhir cikarang keberangkatan dari st kemayoran pkl waktu_jam dan pkl angka gapeka menjadi neraka makanya kalian staff uji coba spy bisa merasakan kebijakan kalian yang menyiksa,0
Fri Nov 07 01:03:15 +0000 2025,@CommuterLine Min kereta arah kampung bandan ditambah donk sekarang malah delay lagi hhmmm,CommuterLine,in,https://x.com/undefined/status/1986600299843477752,Keterlambatan,13,admin kereta arah kampung bandan tambah donk sekarang malah delay hhmmm,admin kereta arah kampung bandan ditambah donk sekarang malah delay lagi hhmmm,0
Mon Oct 13 08:45:14 +0000 2025,@CommuterLine KA 1730A telat 10 menit lebih kereta yg sama jg 6021 kereta 3 6421 AC nya panas banget,CommuterLine,in,https://x.com/undefined/status/1977656863790653847,Keterlambatan,19,ka 1730a telat angka menit lebih kereta sama jg angka kereta angka angka ancol nya panas banget,ka 1730a telat angka menit lebih kereta yang sama jg angka kereta angka angka ancol nya panas banget,0
Wed Dec 17 03:11:22 +0000 2025,@CommuterLine maaf tadi kereta mengalami gangguan sangat lama sehingga saya telat ujian dan harus melakukan susulan boleh tolong saya harus melampirkan bukti telat saat naik kereta yang baru kereta inka,CommuterLine,in,https://x.com/undefined/status/2001128056766038330,Keterlambatan,30,maaf tadi kereta alami ganggu sangat lama telat uji harus laku susul tolong saya harus lampir bukti telat naik kereta baru kereta inka,maaf tadi kereta mengalami gangguan sangat lama sehingga saya telat ujian dan harus melakukan susulan boleh tolong saya harus melampirkan bukti telat saat naik kereta yang baru kereta inka,0
Thu Feb 16 00:02:52 +0000 2023,@CommuterLine tolong banget dipertimbangin masukan ini: untuk stasiun rawabuntu TOLONG BANGET mobil diharuskan untuk masuk ke parkiran spt shrusnya jgn lewat bawah kolong jembatan krna ada 1 mobil aja lewat kolong jembatan 1 jalan jd KACAU KASIAN YG JALAN KAKI SAMA NAIK MOTOR,CommuterLine,in,https://x.com/undefined/status/1626009177935200258,Pelayanan,43,banget dipertimbangin masuk stasiun rawabuntu banget mobil harus untuk masuk parkir spt shrusnya jgn lewat bawah kolong jembatan ada angka mobil lewat kolong jembatan angka jalan jadi kacau kasi jalan kaki sama naik motor,tolong banget dipertimbangin masukan ini untuk stasiun rawabuntu tolong banget mobil diharuskan untuk masuk ke parkiran spt shrusnya jgn lewat bawah kolong jembatan karena ada angka mobil saja lewat kolong jembatan angka jalan jadi kacau kasian yang jalan kaki sama naik motor,2
Sat Oct 21 18:49:45 +0000 2023,@CommuterLine @dantsus @Heraloebss Jgn cuma bisa jawab normatif aja tindakan nyata nya mana evaluasi lg pegawai anda msak yg model beginian msh ada 2 satpam lawan 1 penyakit kok kalah gmn anda melindungi hak2 orang banyak pengguna kereta,CommuterLine,in,https://x.com/undefined/status/1715802571540226167,Pelayanan,38,jgn cuma jawab normatif tindak nyata nya mana evaluasi pegawai msak model begini msh angka satpam lawan angka sakit kok kalah bagaimana lindung hak2 orang banyak guna kereta,jgn cuma bisa jawab normatif saja tindakan nyata nya mana evaluasi lagi pegawai anda msak yang model beginian msh ada angka satpam lawan angka penyakit kok kalah bagaimana anda melindungi hak2 orang banyak pengguna kereta,2
Tue Apr 11 23:25:52 +0000 2023,@CommuterLine KA 2265 2267 2269 Tang - Duri kenapa sebulan ini cuma 8 gerbong ya min? Ini kereta setiap pagi padet banget. Kenapa ga sampe minimal 10 gerbong? Ga pernah nyentuh 12 gerbong di rush hour gini. Apa pertimbangannya?,CommuterLine,in,https://x.com/undefined/status/1645931199427383297,Kepadatan,39,ka angka angka angka tang duri bulan cuma angka gerbong admin kereta pagi padet banget minimal angka gerbong tidak pernah nyentuh angka gerbong rush hour gin apa timbang,ka angka angka angka tang duri kenapa sebulan ini cuma angka gerbong ya admin ini kereta setiap pagi padet banget kenapa tidak sampai minimal angka gerbong tidak pernah nyentuh angka gerbong di rush hour gini apa pertimbangannya,1
Sat Feb 22 00:47:14 +0000 2025,@CommuterLine Ini udah selesai belum sih? Kata temen kereta nambo delay 45 menit,CommuterLine,in,https://x.com/undefined/status/1893100202099384600,Keterlambatan,13,sudah selesai sih kata temen kereta nambo delay angka menit,ini sudah selesai belum sih kata temen kereta nambo delay angka menit,0
Wed May 22 09:52:23 +0000 2024,@CommuterLine jadwal jam 16:39 tapi baru dateng jam 16:50 karena apa? Karena nunggu kereta luar kotanya @KAI121 lewat doang wkwkwkwkwk https://t.co/FsWoaOeK2D,CommuterLine,in,https://x.com/undefined/status/1793218338921042409,Keterlambatan,21,jadwal jam waktu jam baru dateng jam waktu jam apa nunggu kereta luar kota lewat wkwkwkwkwk,jadwal jam waktu_jam tapi baru dateng jam waktu_jam karena apa karena nunggu kereta luar kotanya lewat saja wkwkwkwkwk,0
Tue Jun 13 06:36:59 +0000 2023,@CommuterLine ada anakan kecoa di commuter line dhoho. mohon ditinjau kebersihan gerbongnya,CommuterLine,in,https://x.com/undefined/status/1668507739033833472,Kebersihan,12,ana kecoa commuter line dhoho mohon tinjau bersih gerbong,ada anakan kecoa di commuter line dhoho mohon ditinjau kebersihan gerbongnya,4
Wed Mar 13 01:53:50 +0000 2024,@CommuterLine tadi nemu kecoa 3 di gerbong kereta lintas bogor. Sebenernya ada perawatan rutin gak sih? Misal disemprot disinfektan atau gimana gitu,CommuterLine,in,https://x.com/undefined/status/1767730758989316551,Kebersihan,22,tadi nemu kecoa angka gerbong kereta lintas bogor sebenernya awat rutin sih misal semprot disinfektan bagaimana gitu,tadi nemu kecoa angka di gerbong kereta lintas bogor sebenernya ada perawatan rutin tidak sih misal disemprot disinfektan atau bagaimana gitu,4
Wed Jun 21 00:48:44 +0000 2023,@CommuterLine Ini menuju Jatinegara dan di Jatinegara berhenti lama (lagi). Tolong hal yang membuat kenyamanan pelanggan terganggu lebih diperhatikan. Ubah lagi Gapeka dengan meminimalisir delay dan berhenti (ngetem) di tengah jalan/stasiun. Kenyamanan Pelanggan Adalah Prioritas Kami ,CommuterLine,in,https://x.com/undefined/status/1671319205931810816,Keterlambatan,36,tuju jatinegara jatinegara henti lama tolong yang buat nyaman langgan ganggu lebih perhati ubah gapeka meminimalisir delay henti ngetem di tengah jalan stasiun nyaman langgan prioritas,ini menuju jatinegara dan di jatinegara berhenti lama lagi tolong hal yang membuat kenyamanan pelanggan terganggu lebih diperhatikan ubah lagi gapeka dengan meminimalisir delay dan berhenti ngetem di tengah jalan stasiun kenyamanan pelanggan adalah prioritas kami,0
Tue Feb 18 17:53:44 +0000 2025,@CommuterLine jelek bgt anj aplikasi lu kacau,CommuterLine,in,https://x.com/undefined/status/1891908975383200134,Pelayanan,7,jelek banget anj aplikasi kamu kacau,jelek banget anj aplikasi kamu kacau,2
Sat Dec 20 06:51:31 +0000 2025,@CommuterLine min kereta bogor - jkt lagi ada gangguan kah kenapa gak jelas tiba2 cuma sampe tebet terus di manggarai lama,CommuterLine,in,https://x.com/undefined/status/2002270624786571527,Keterlambatan,21,admin kereta bogor jkt ada ganggu kenapa jelas tiba2 cuma tebet terus manggarai lama,admin kereta bogor jkt lagi ada gangguan kah kenapa tidak jelas tiba2 cuma sampai tebet terus di manggarai lama,0
Wed Feb 19 11:41:39 +0000 2025,@CommuterLine Goks si jam 5 pulang kerja (rush hour) kereta cikarang ada jm 17.16 sblm nya jm 16.42 selisih 30 menit di dlm kereta jd chaos bgt mana ketahan 3 kereta jarak jauh.. Cape bgt sumpah.. Klo ga di evaluasi si kebangetan..,CommuterLine,in,https://x.com/undefined/status/1892177724426604984,Kepadatan,42,goks si jam angka pulang kerja rush hour kereta cikarang jm waktu jam sblm nya jm waktu jam selisih angka menit dlm kereta jadi chaos banget mana tahan angka kereta jarak jauh cape banget sumpah kalau di evaluasi si banget,goks si jam angka pulang kerja rush hour kereta cikarang ada jm waktu_jam sblm nya jm waktu_jam selisih angka menit di dlm kereta jadi chaos banget mana ketahan angka kereta jarak jauh cape banget sumpah kalau tidak di evaluasi si kebangetan,1
Mon Apr 28 00:31:30 +0000 2025,@CommuterLine 1199 kenapa delay terus? Rusak? ui up cawang tebet diem terus. Gangguan bulanan lagi?,CommuterLine,in,https://x.com/undefined/status/1916651452673806655,Keterlambatan,15,angka delay terus rusak universitas indonesia universitas pancasila cawang tebet diem terus ganggu bulan,angka kenapa delay terus rusak universitas indonesia universitas pancasila cawang tebet diem terus gangguan bulanan lagi,0
Tue Mar 07 01:13:15 +0000 2023,@CommuterLine Bos belakangan ini KRL relasi Cikarang-KPB padat parah nih saat jam berangkat dan pulang kerja. Di dlm gerbong penumpang pada sesak karena dorong-dorongan dan badan juga jadi pegel-pegel bos. Mohon dicarikan solusinya. Cc: Pak Menteri @erickthohir @BudiKaryaS,CommuterLine,in,https://x.com/undefined/status/1632912258069307393,Kepadatan,38,bos belakang krl relasi cikarang kampung bandan padat parah nih jam berangkat pulang kerja dlm gerbong tumpang sesak dorong dorong badan jadi gel gel bos mohon cari solusi cicayur pak menteri,bos belakangan ini krl relasi cikarang kampung bandan padat parah nih saat jam berangkat dan pulang kerja di dlm gerbong penumpang pada sesak karena dorong dorongan dan badan juga jadi pegel pegel bos mohon dicarikan solusinya cicayur pak menteri,1
Sun Aug 18 11:05:23 +0000 2024,@CommuterLine halo keretanya banyak kecoa ,CommuterLine,in,https://x.com/undefined/status/1825126845299253566,Kebersihan,5,halo kereta banyak kecoa,halo keretanya banyak kecoa,4
Fri Dec 01 11:45:02 +0000 2023,@CommuterLine telat 4080A? https://t.co/qEXV4DVQTN,CommuterLine,in,https://x.com/undefined/status/1730553589008069024,Keterlambatan,4,telat 4080a,telat 4080a,0
Wed Feb 05 10:29:11 +0000 2025,@CommuterLine Kemarin numpuk banget nih kereta molor sampe 20menitan penumpang membludak 2x gak muat rangkaian kereta gila banget! https://t.co/LDle2WyJhY,CommuterLine,in,https://x.com/undefined/status/1887086059273818549,Keterlambatan,19,kemarin numpuk banget nih kereta molor 20menitan tumpang membludak 2x muat rangkai kereta gila banget,kemarin numpuk banget nih kereta molor sampai 20menitan penumpang membludak 2x tidak muat rangkaian kereta gila banget,0
Mon Feb 13 02:17:14 +0000 2023,@CommuterLine udah minggu ke 3 di hari senin manggarai lagi manggarai mulu yg delay. Ga masuk di akal najis najis najissssssssss,CommuterLine,in,https://x.com/undefined/status/1624955830796980227,Keterlambatan,21,minggu angka hari senin manggarai manggarai mulu delay masuk akal najis najis najissssssssss,sudah minggu ke angka di hari senin manggarai lagi manggarai mulu yang delay tidak masuk di akal najis najis najissssssssss,0
Mon Sep 22 22:53:46 +0000 2025,@CommuterLine Pantesan nak kereta manggarai biasa nya bukan ja 05.38 kok ini udah ada dan ketahan lama masuk Citayam pun,CommuterLine,in,https://x.com/undefined/status/1970260261069259250,Keterlambatan,20,pantesan nak kereta manggarai biasa nya bukan ja waktu jam kok sudah dan tahan lama masuk citayam,pantesan nak kereta manggarai biasa nya bukan ja waktu_jam kok ini sudah ada dan ketahan lama masuk citayam pun,0
Thu May 15 11:27:04 +0000 2025,@CommuterLine Gangguan terus delay kapan menjadi lebih baik,CommuterLine,in,https://x.com/undefined/status/1922977023103848958,Keterlambatan,8,ganggu terus delay kapan jadi lebih baik,gangguan terus delay kapan menjadi lebih baik,0
Wed Nov 06 00:48:12 +0000 2024,@CommuterLine @KAI121 KAGA PERNAH NGERTI GIMANA CARANYA KCI DAN KAI MANAGED WAKTU PEMBERANGKATAB KRL. SETIAP HARI LIN CKR/ BKS PASTI DELAY. KA 5051 DELAY 5 MENIT TIBA BEKASI TIMUR. APA WAJAR KA COMMUTER TELAT TERUS @kemenhub151 @KemenBUMN,CommuterLine,in,https://x.com/undefined/status/1853962554340704736,Keterlambatan,37,kaga pernah ngerti bagaimana cara kci kai managed waktu pemberangkatab krl hari lin cikarang bekas delay ka angka delay angka menit tiba bekas timur apa wajar ka commuter telat terus,kaga pernah ngerti bagaimana caranya kci dan kai managed waktu pemberangkatab krl setiap hari lin cikarang bekasi pasti delay ka angka delay angka menit tiba bekasi timur apa wajar ka commuter telat terus,0
Tue Dec 16 00:52:48 +0000 2025,@CommuterLine Please consider headway ngga lebih dari 10 menit di jam sibuk gini karena numpuk banget coyy di St Cisauk. Apakah kalian ngide ada kereta dr Serpong di antara jam 08.35-08.55 ya? https://t.co/NHhpfX5eLj,CommuterLine,in,https://x.com/undefined/status/2000730798987829544,Kepadatan,33,please consider headway ngga lebih angka menit jam sibuk gin numpuk banget coyy st cisauk kalian ngide kereta serpong antara jam waktu jam waktu jam,please consider headway ngga lebih dari angka menit di jam sibuk gini karena numpuk banget coyy di st cisauk apakah kalian ngide ada kereta dari serpong di antara jam waktu_jam waktu_jam ya,1
Fri Sep 29 10:47:16 +0000 2023,@CommuterLine sudah beberapa kali kejadian PARKIR di stasiun bogor motor saya ada aja masalah nya di mulai dari lecet body sampai motor yang sering di pakai orang untuk MEROKOK di sampai body body nya si injak bagian cover knalpot di injak juga motor bersih jadi kotor! kecewa,CommuterLine,in,https://x.com/undefined/status/1707708617707913527,Keamanan,47,beberapa kali jadi parkir stasiun bogor motor ada masalah nya mulai lecet body motor sering pakai orang rokok sampai body body nya si injak bagi cover knalpot injak motor bersih jadi kotor kecewa,sudah beberapa kali kejadian parkir di stasiun bogor motor saya ada saja masalah nya di mulai dari lecet body sampai motor yang sering di pakai orang untuk merokok di sampai body body nya si injak bagian cover knalpot di injak juga motor bersih jadi kotor kecewa,3
Sat Oct 05 01:11:26 +0000 2024,@CommuterLine tadi di 1163 arah jakot tp td caot nya udah coba panggil petugas dan di gondangdia petugas udah dtg tpi beberapa orang orangnya gamau dengerin padahal petugas udah suruh untuk pindah,CommuterLine,in,https://x.com/undefined/status/1842371988717023575,Pelayanan,32,tadi angka arah jakot td caot nya coba panggil tugas di gondangdia tugas dtg beberapa orang orang gamau dengerin padahal tugas suruh pindah,tadi di angka arah jakot tapi td caot nya sudah coba panggil petugas dan di gondangdia petugas sudah dtg tapi beberapa orang orangnya gamau dengerin padahal petugas sudah suruh untuk pindah,2
Wed Jun 18 13:36:05 +0000 2025,@CommuterLine info donk brp lama nunggu kereta dr bekasi ke Cikarang akan jalan jd kita bisa ambil keputusan pindah transportasi lain atau nunggu jgn di gantungin spt ini sdh 2jam loh..,CommuterLine,in,https://x.com/undefined/status/1935330681296724405,Keterlambatan,31,info donk brp lama nunggu kereta bekas cikarang jalan jadi bisa ambil putus pindah transportasi atau nunggu jgn gantungin spt sudah 2jam loh,info donk brp lama nunggu kereta dari bekasi ke cikarang akan jalan jadi kita bisa ambil keputusan pindah transportasi lain atau nunggu jgn di gantungin spt ini sudah 2jam loh,0
Mon Sep 22 23:29:19 +0000 2025,@CommuterLine stop delay pls min..? aku msh sklh.. jd tlt mulu udah lebih dr 5x arah tgr haduh :( pdhl dateng selalu 10 menit lbh awal knp delaynya bisa sampe 20 menit :(,CommuterLine,in,https://x.com/undefined/status/1970269206433407213,Keterlambatan,33,stop delay admin aku msh sklh jadi tlt mulu lebih 5x arah tgr haduh pdhl dateng selalu angka menit lbh awal delaynya sampai angka menit,stop delay tolong admin aku msh sklh jadi tlt mulu sudah lebih dari 5x arah tgr haduh pdhl dateng selalu angka menit lbh awal kenapa delaynya bisa sampai angka menit,0
Mon May 06 11:59:06 +0000 2024,@CommuterLine manaa ini krl arah bogor nya numpuk banget jalur 11 12 di manggarai ,CommuterLine,in,https://x.com/undefined/status/1787452022352146933,Keterlambatan,14,manaa krl arah bogor nya numpuk banget jalur angka angka manggarai,manaa ini krl arah bogor nya numpuk banget jalur angka angka di manggarai,0
Tue Jul 04 11:06:48 +0000 2023,@CommuterLine halah cok lama bgt pergantian pergantian nunggu pergantian bermenit menit kereta jalan ga nyampe 3 menit ,CommuterLine,in,https://x.com/undefined/status/1676185787736682496,Keterlambatan,17,halah cok lama banget ganti ganti nunggu ganti menit menit kereta jalan nyampe angka menit,halah cok lama banget pergantian pergantian nunggu pergantian bermenit menit kereta jalan tidak nyampe angka menit,0
Wed Jun 14 11:09:24 +0000 2023,@CommuterLine Kacau jadwalmu nyet !!!,CommuterLine,in,https://x.com/undefined/status/1668938682785738753,Keterlambatan,5,kacau jadwal nyet,kacau jadwalmu nyet,0
Thu May 18 15:01:11 +0000 2023,@CommuterLine Template minta maaf terus tapi ga pernah di perbaiki pelayanannya.. Padahal dah banyak yg komplen masalah waktu.. Belom lagi nanti di tahan2 susah banget menghargai waktu kayaknya ,CommuterLine,in,https://x.com/undefined/status/1659212543976701956,Pelayanan,28,template minta maaf terus tidak pernah baik layan padahal dah banyak komplen masalah waktu lagi di tahan2 susah banget harga waktu kayak,template minta maaf terus tapi tidak pernah di perbaiki pelayanannya padahal dah banyak yang komplen masalah waktu belum lagi nanti di tahan2 susah banget menghargai waktu kayaknya,2
Tue Mar 12 23:42:14 +0000 2024,@CommuterLine Min itu ditegur masinisnya yg ngetem nya lama satu aja yg delay pasti kena smua delay . Jelas2 krl udah penuh tpi masih aja lama ngetem nya.,CommuterLine,in,https://x.com/undefined/status/1767697639100039549,Keterlambatan,28,admin tegur masinis ngetem nya lama satu yang delay kena smua delay jelas2 krl penuh masih lama ngetem nya,admin itu ditegur masinisnya yang ngetem nya lama satu saja yang delay pasti kena smua delay jelas2 krl sudah penuh tapi masih saja lama ngetem nya,0
